title;mediaType;eps;startYr;finishYr;sznOfRelease;description;studios;tags
Maid-sama! LaLa Special;DVD Special;1;2010;2010;;;['J.C. Staff'];Comedy,Maids,Based on a Manga
Marmalade Boy;TV;76;1994;1995;;"Miki is a normal high school student, living a normal life, but one day she is welcomed home with an announcement: her parents have decided to get divorced and switch partners with close friends of the family. The reason? Love. But to add to Miki's disbelief, she may get a new ""brother,"" and he may just happen to be in love with her...";['Toei Animation'];Comedy,Drama,Romance,Shoujo,Divorce,Love Triangle,Remarriage,Siblings,Based on a Manga
Motto! Ojamajo Doremi;TV;50;2001;2002;Winter;"Unbeknown to 5th grade student Doremi Harukaze and her friends, the Witch Queen assembles a council composed of high ranking witches to request that the four human girls attain the permission to become witches. Half of the council disagrees making the Queen reformulate her proposition. She instead asks that the girls become witch apprentices once again and that in order to become full-fledged witches they should convince the council members who voted against the appeal that they are worthy. Unanimously accepted; Doremi, Hazuki, Aiko, and Onpu will have to learn how to make sweets to persuade the six senior witches. To help them familiarize with the process of making sweets, the Witch Queen introduces them to a witch apprentice named Momoko Asuka. She lived in New York for many years assisting in a bakery owned by a witch.";['Toei Animation'];Magical Girl,Family Friendly,Henshin Heroes,Magic,Witches,Original Work
Turn A Gundam;TV;50;1999;2000;Spring;"The year is 2345 Correct Century, and in the aftermath of humanity forgetting about their advanced technology, Earth has regressed to simpler times. The Moonrace, an advanced colony of people on the moon, has sent the three teenagers Loran Cehack, Keith Laijie, and Fran Doll to Earth to see if it is suitable to live on once again. Two years have passed, and the Moonrace has arrived on Earth to settle in the Sunbelt zone with the help of the Dianna Counter forces; however, the people of Earth are angry and respond aggressively to their invaders. With negotiations for peace failing, will the people from Earth and the Moonrace ever learn to coexist? Or is this the dawn of a new war?";['Sunrise'];Action,Mecha,Sci Fi,Military,Political,Original Work
Sankarea: Wagahai mo... Zombie de Aru...;DVD Special;1;2012;2012;;Despite their decaying bodies, Rea’s zombie power comes in handy both at school and at home, and Babu gets interested in another cat—although this particular feline is one of the living.;['Studio Deen'];Comedy,Shounen,Supernatural,Zombies,Based on a Manga
Ninja Girl & Samurai Master 2nd Season;TV;26;2017;2017;Spring;Second season of Ninja Girl & Samurai Master;['V1 Studio', 'TMS Entertainment'];Action,Comedy,Seinen,16th Century,Chibi,Feudal Japan,Historical,Ninja,Overpowered Main Characters,Rebellions,Short Episodes,War,Based on a 4-Koma Manga,Based on a Manga
Ginga e Kickoff!!;TV;39;2012;2013;Spring;After his team was disbanded, Sho Ota is sixth grader determined on finding new members to reassemble the Momotaro Predators. Despite not being very good himself, he loves football with all his heart. He one day wishes to accomplish his candid dream of becoming a professional player.;['TYO Animations'];Shounen,Sports,Soccer,Tournaments,Based on a Novel
Tegami Bachi: Letter Bee Reverse Specials;DVD Special;25;2010;2011;;;['St. Signpost'];Fantasy,Shounen,Based on a Manga
Super GALS!;TV;52;2001;2002;Spring;"Kotobuki Ran has a whole family line of relatives working in the police force. Her aunts and uncles are officers, her dad is a police chief, and even her brother is a working policeman. Ran has no interest in being a policewoman; she has problems of her own, and her own style of dealing with them - the GAL way! Friends need boyfriends, shoes need to be bought, and nails need to be done. Despite Ran's wreckless and troublesome behavior, Ran has a strong sense of justice, and she's always willing to help her friends out of trouble. With her two best friends Miyu and Aya, they live life as GALs, building romance and creating memorable fun!";['Studio Pierrot'];Comedy,Drama,Shoujo,Slice of Life,Gyaru,Based on a Manga
Keroro Gunsou Movie 1;Movie;1;2006;2006;;Keroro and Fuyuki are on their way home from the toy store - where they bought the latest Gunpla model – when they happen upon a mysterious shrine. Keroro manages to break a strange crystal at the site, but he glues it back together and thinks nothing of the ordeal – that is, until he returns home and finds a strange cross on his face. Soon after, most of Tokyo’s residents also have the same red cross on their faces, granting them the power of telepathy – something that Keroro sees as an opportunity to invade Earth. But what is the true nature of these strange marks, and who is the sinister Kiruru?;['Sunrise'];Comedy,Shounen,Aliens,Frogs,Non-Human Protagonists,Based on a Manga
Joker Game;TV;12;2016;2016;Spring;"In autumn of 1937, as the coals of World War II are beginning to smolder, Lt. Col. Yuuki of the Imperial Army secretly establishes a spy training organization called the ""D Agency."" Those chosen as members of the agency, in opposition to the national trend toward reverence of native-born soldiers in the army, are civilian university graduates who pass the superhuman selection test with flying colors. Under the resourceful Lieutenant Colonel Yuuki, they learn not only how to work with gunpowder, wireless communications, vehicles, and airplanes, but also various skills essential for spies...";['Production I.G'];Mystery,Historical,Military,Mind Games,War,World War 2,Based on a Novel
Love Hina;TV;24;2000;2000;Spring;Keitaro Urashima is somewhat of a failure. In order to fulfill a promise he made to a girl fifteen years ago, he has tried time and again to get into Tokyo U but has never managed to pass the exam. However, fate smiles upon him and he ends up working for his aunt, managing an all-girls dorm! Living with the feral Kaolla, the timid Shinobu, the sake-loving Mitsune, the blade mistress Motoko and the punch-happy Naru, can Keitaro keep his focus and keep his promise? And will he ever end up meeting that girl from his past?;['XEBEC'];Comedy,Ecchi,Harem,Romance,Shounen,Apartment Life,Boarding House,Childhood Promise,Landlords,Neighbors,Romantic Comedy,Slapstick,Tsundere,Based on a Manga
Dance in the Vampire Bund;TV;12;2010;2010;Winter;Nightmares creep into the waking hours as Mina Tepes, childlike Queen of the damned, shockingly appears on live television to announce her plans for a colony where her blood-sucking brethren can live in peace. As pandemonium engulfs the globe, Mina reconnects with a handsome face from her past: Akira, a brooding beast whose link to the queen is both powerful and mysterious. Together, Mina and Akira will bare their fangs and fight against an ancient evil. And though the Queen and her ferocious werewolf minions vow that no human blood will be spilled, there are others of her kind who yearn to sink their teeth into innocent flesh. Can Akira maintain his fleeting link to the realm of the living while battling to protect this ruthless and royal beauty? Only one thing is certain. The world’s not ready for her reign.;['Shaft'];Action,Ecchi,Seinen,Supernatural,Vampires,Based on a Manga
The Cockpit;OVA;3;1993;1994;;"The Cockpit tells three different tales from the second world war, bound together by the madness of war --and airplanes. In the the first tale, a German pilot is forced to choose between his duty and his soul; the second is a tragic tale of a Japanese kamikaze pilot who welcomes death; and finally, the third tale revolves around two Japanese ground troopers in the Philippines who are racing towards an airbase that might already be under enemy control.";['MADHOUSE', 'Visual 80'];Action,Drama,Seinen,Aviation,Collections,Episodic,Historical,Military,War,World War 2,Based on a Manga
Love, Chunibyo & Other Delusions!: Ren Lite;Web;6;2013;2014;Fall;;['Kyoto Animation'];Comedy,School Life,Short Episodes,Based on a Light Novel
Kodomo no Jikan: Anata ga Watashi ni Kureta Mono;OVA;1;2007;2007;;"With Aoki-sensei’s birthday coming up, Rin, Kuro and Mimi decide to sneak into the school infirmary and take a look at his health record. Unfortunately Aoki catches them, but the gang manages to make a hasty escape once Rin stalls Aoki by flashing her panties. The trio - now armed with all the information it needs - heads to a department store in order to find Aoki the perfect gift... but not without being distracted by arcade games, ice creams and lingerie shopping along the way! Returning empty-handed, they then decide to have a sleepover at Rin’s house in order to make Aoki the perfect gift; will they succeed?";['diomedea'];Comedy,Ecchi,Seinen,Age Gap,Student-Teacher Relationship,Based on a Manga
ACCA: 13-Territory Inspection Dept - Regards;OVA;1;2020;2020;;;['MADHOUSE'];Drama,Seinen,Military,Police,Based on a Manga
Revolutionary Girl Utena: The Adolescence of Utena;Movie;1;1999;1999;;"Utena Tenjou has just arrived at the prestigious Ohtori Academy, and not long after her arrival, she receives ""the mark of the rose"" and becomes a duelist. She is then thrust into a series of battles with other duelists to win her friend Anthy, who is known the Rose Bride. The winning duelist will not only receive Anthy, but also the revolutionary power that she holds! Utena must now do everything she can to protect Anthy while trying to figure out the secrets behind Ohtori Academy and the Rose Bride before it’s too late.";['J.C. Staff'];Fantasy,GL,Romance,Shoujo-ai,Boarding School,Contemporary Fantasy,LGBT Themes,Opposites Attract,Orphans,School Life,Original Work
Tsurune: Dangerous Shoot;DVD Special;1;2019;2019;;After the events of the tournament, Masa-san needs some help from the boys. The Kirisaki and Kazemai kyudo clubs team up to learn more about... idols?!;['Kyoto Animation'];Sports,Archery,School Club,School Life,Tournaments,Based on a Light Novel
Gun x Sword;TV;26;2005;2005;Summer;Evergreen would be a peaceful and prosperous place – if it wasn’t under siege by bandits. Most of the inhabitants have already been killed or driven off, but among the ones remaining is Wendy – a young girl who is intent on finding her kidnapped brother. As the outlaws bring their full arsenal to bear, including one of the dreaded Armor war-machines, the fate of Evergreen looks sealed. However, a slim hope appears in the form of the wanderer Van, who possesses extraordinary martial skills and even an Armor of his own. But Van has motives and goals of his own, which don’t necessarily involve saving besieged towns...;['AIC A.S.T.A.'];Action,Adventure,Mecha,Sci Fi,Guns,Western,Original Work
Urusei Yatsura Movie 1: Only You;Movie;1;1983;1983;;Ataru, the ever unlucky wretch, has the fortune to be marrying a gorgeous alien princess. Unfortunately, it’s not going to be Lum. At the age of 6, it seems Ataru accidentally engaged himself to a beautiful princess through a game of shadow tag, and being the fool he is, he completely forgot about it until now! However, the princess Elle has never forgotten, and has lived dreaming and waiting for the day when she can come and take her husband. Of course, Lum won’t stand for it, and will stop at nothing short of intergalactic warfare to keep her man!;['Studio Pierrot'];Comedy,Romance,Sci Fi,Shounen,Aliens,Based on a Manga
World Break: Aria of Curse for a Holy Swordsman;TV;12;2015;2015;Winter;The story is set at a private school that brings together “Saviors” – students who have awakened memories of their past lives as Shirogane or Kuroma. Shirogane use weapons gleaned with Puraana from their bodies to fight enemies, while Kuroma use magic by manipulating Maana to banish their foes. Moroha Haimura has just enrolled into the private school and is the first Savior in history who has awakened memories of being both a Shirogane and Kuroma.;['diomedea'];Action,Fantasy,Harem,Romance,Magic,Overpowered Main Characters,Reincarnation,Urban Fantasy,Based on a Light Novel
Kenshi Yonezu: Umi no Yuurei;Music Video;1;2019;2019;;Official music video for Children of the Sea's theme song Umi no Yuurei, performed by Kenshi Yonezu.;['Studio 4°C'];Ocean,Supernatural,Based on a Manga
Love Hina Special: Motoko's Choice, Love or Sword: Don't Cry;DVD Special;1;2000;2000;;One day, on his way back from dropping off Naru and Mei at the train station, Keitarou is saved by a katana-wielding beauty who turns out to be none other than Motoko’s sister – and she’s come to take her younger sibling back to the dojo! Shocked by her sister’s sudden appearance, Motoko, in a fit of desperation,  blurts out that she cannot leave as she is getting married to Keitarou. Now, in order to stop Motoko from having to return home, Keitarou and the rest of the girls of the Hina inn must help to keep up the pretense of their relationship. But with Motoko unable to even kiss the young ronin without her punching him, can they succeed?;['XEBEC'];Comedy,Ecchi,Harem,Romance,Shounen,Based on a Manga
Sensual Phrase;TV;44;1999;2000;Spring;"Santa, the drummer of CLIMB, has just left the band after finding his girlfriend in the arms of a friend. Along with Yuki, the lead guitarist, they start their own band called ""Lucifer, The Fallen Angel,"" and set out to find new band-mates. Recruitment is not easy, however, and on a search to find a vocalist the duo runs across a promising bass guitarist and a local hotel's piano player and singer who has been wowing patrons daily. With little time to spare, can the two round up the talent they desire, or will Sakuya let his anti-social personality hold him, and his newfound band, back?";['Studio Hibari'];Drama,Shoujo,Music,Rock Music,Showbiz,Based on a Manga
Azumanga Daioh: The Very Short Movie;Movie;1;2001;2001;;Osaka is curious, she is puzzling, and above all she is clueless. On this particular day, her curiosity is focused on the cutest little set of pigtails you have ever seen. These pigtails happen to belong to the cutest little 10-year-old genius you have ever seen: Chiyo-chan! When Osaka just can’t stand it any longer she reaches up and grabs the pigtails, but much to her surprise they seem to have a mind of their own. Jumping right off of Chiyo’s head, the pigtails make a bouncing beeline towards the window and escape in a hurry! One very sad little Chiyo-chan desperately runs after them, but what adventures await her in a world where pigtails are so free and lively!?;['J.C. Staff'];Comedy,Shounen,Gag,School Life,Shorts,Based on a 4-Koma Manga,Based on a Manga
Black Jack;TV;61;2004;2006;Fall;"Black Jack is a man with god-like surgical skills. Little is known about this mysterious, unlicensed physician aside from his immense talent, which is legendary amongst the medical community; but should you require the services of this genius, you must be prepared for a hefty price tag! Though he often appears to have the demeanour of a businessman more than a doctor, Black Jack is not entirely cold-hearted; and with the help of his assistant Pinoko, he will do all in his power to save his patients, no matter how obscure, difficult or unknown the ailment. However, even a man of science like Black Jack can be surprised by the medical mysteries that nature throws at him, and sometimes even by the sheer tenacity of human nature itself.";['Tezuka Productions'];Drama,Shounen,Doctors,Episodic,Medical,Based on a Manga
My Neighbors The Yamadas;Movie;1;1999;1999;;The Yamadas are an ordinary suburban family that enjoy shopping together, watching TV together, and sharing meals just like anyone else. Or so we think! With grumpy grandma Shige wisecracking at the worst times, and Mummy and Daddy Yamada testing each other’s patience at every turn, no family moment ends without a fascinating mishap. But nobody chooses their family, so the Yamadas must learn to savor the joys, forgive each other’s mistakes and, above all, learn lessons that only make them stronger.;['Studio Ghibli'];Comedy,Slice of Life,Family Friendly,Family Life,Based on a 4-Koma Manga,Based on a Manga
Maria-sama ga Miteru ~Haru~ Specials;DVD Special;6;2004;2005;;"It's not easy shooting a moving and emotional drama, and the girls at Lillian make it look effortless. However, behind the scenes it's not as simple as it seems. With the girls suffering from bouts of memory loss when reciting their lines, Rosa Gigantea tormenting everyone with her snoring and Yoshino's ""magic tricks"" getting a little out of hand, there's no telling if the show will get made at all!";['Studio Deen'];Comedy,GL,Shoujo-ai
Fullmetal Alchemist: The Sacred Star of Milos Specials;DVD Special;4;2011;2011;;;['Bones'];Comedy,Shounen,Siblings,Based on a Manga
Mazinkaiser: Shitou! Ankoku Dai Shogun;OVA;1;2003;2003;;"A race of subterranean beasts called the ""Mikene"" appear out of nowhere and indiscrimiately wreak havoc all over the world. Their goal: the death of Mazinkaiser pilot Kouji Kabuto. As these monstrous beings destroy cities and decimate the Mazinger Army, Kouji must race against time to once again pilot Mazinkaiser and defeat the Mikene and their feared leader Ankoku Daishogun.";[];Action,Mecha,Sci Fi,Super Robot
Mobile Suit Gundam 0083: The Afterglow of Zeon;Movie;1;1992;1992;;"It has been three years since Principality of Zeon's defeat in the One Year War. The colonies are slowly being rebuilt, and life continues forward – at least for most. Remnants of Zion’s forces, the Delaz Fleet, have not given up. After biding their time, they launch their 'Operation Stardust' by stealing the GP02, a nuclear-armed Gundam Unit. A small group of Federation forces are tasked with trying to regain the GP02; but even equipped with the GP01, can they stop these Zionist troops before Operation Stardust reaches completion?";['Sunrise'];Mecha,Sci Fi,Military,Outer Space,Original Work
Gundam Build Fighters: GM no Gyakushuu;Web;1;2017;2017;Summer;The day before the ceremony marking the completion of the Yajima Stadium, Nils Nielsen invites Sei Iori, Meijin Kawaguchi, and others to an exhibition battle using the new large-scale battle system he has designed. Now that they are all reunited, Sei attempts to show off the Build Strike Cosmos that he has upgraded for the exhibition, but then he notices something missing... Meanwhile, somebody takes control of the stadium's systems, sealing Sei and the others inside. Before them appears a mysterious group, which has come to challenge them to Gunpla Battle.;['Sunrise'];Mecha,Sci Fi
Romeo no Aoi Sora Specials;TV Special;2;2001;2001;;;['Nippon Animation'];Drama,19th Century,Europe,Historical,Italy,Recap,World Masterpiece Theater
Unico in the Island of Magic;Movie;1;1983;1983;;"Unico is a young unicorn who has the power to make everyone around him happy. In a fit of jealousy, the gods commanded the West Wind to strand him on the Hill of Oblivion for all time; but the West Wind couldn't bring herself to do this, so she left him in a forest where the gods wouldn't find him. On this island Unico encounters a girl named Cherry, as well as her long lost brother Toby. Toby is now the apprentice of Kuruku, a powerful magician that turns people into living dolls to help him build his castle... with their own bodies! Now Cherry and Unico have to find a way to fight Kuruku's magic and rescue everybody, even if it means traveling to the edge of the world to do it!";['Sanrio', 'Tezuka Productions', 'MADHOUSE'];Adventure,Fantasy,Animal Protagonists,Family Friendly,Non-Human Protagonists
Peace Maker Kurogane: Belief;Movie;1;2018;2018;;Though the Shinsengumi took a huge blow following the Incident at Aburano Koji, they prepare themselves to carry out their devotion to the Shogun, Tokugawa Yoshinobu. Meanwhile, the Imperial Court proclaims the end of the Tokugawa shogunate, and Yoshinobu withdraws to Osaka. The Shinsengumi prepares for battle as well, relocating their station to the Fushimi magistrate's office.;['WHITE FOX'];Shounen,19th Century,Feudal Japan,Historical,Samurai,Based on a Manga
My Mental Choices are Completely Interfering with my School Romantic Comedy OVA;OVA;1;2014;2014;;;['diomedea'];Comedy,Ecchi,Harem,Romance,Crude
Girls und Panzer Movie: Akiyama Yukari no Sensha Kouza;DVD Special;3;2016;2016;;;['Actas'];Educational,Military,Original Work
Young Black Jack;TV;12;2015;2015;Fall;The year is 1968, the war in Vietnam is approaching its zenith, and the counterculture movement that's been sweeping the world is engulfing Japan. While others are in the streets protesting, one young medical student becomes embroiled in a different kind of battle.As new medical technologies to save and extend lives come into play, the temptation for a surgeon to play God has never been so powerful. Even as he strives to prove his own skills to his colleagues, Hazama Kuroo begins to suspect that the potentials for abuse inherent in the medical system are already being exploited.To attempt to change the system means risking his own promising career as a surgeon, and to move against the perpetrators will put his own life in danger. However, as a doctor, how can he not act when lives are on the line?;['Tezuka Productions'];Drama,Seinen,Doctors,Episodic,Medical,Based on a Manga
Casshern Sins;TV;24;2008;2009;Fall;"In a dark future, the world is in ruin and everything is slowly crumbling away into dust. Humanity is almost extinct, while robots desperately seek out new parts to replace their rusting bodies. Their only hope for survival is to devour the one known as Casshern… or so they believe. Meanwhile, Casshern himself has lost all memory of his past. Why are these robots attacking him? Did he really kill the one known as Luna; the Sun that was called Moon? And why is he, alone, unaffected and undamaged by the ruin?";['MADHOUSE'];Action,Sci Fi,Androids,Post-apocalyptic,Robots
BanG Dream! 2nd Season;TV;13;2019;2019;Winter;Kasumi and the rest of Poppin'Party may have achieved their goal, but it turns out they were just at the starting line! Performing is a lot of work, and they're not the only band in town! Do they have what it takes to reach true musical stardom?;['SANZIGEN'];All-Girls School,Idols,Music,School Life,CG Animation,Original Work
Record of Lodoss War: Chronicles of the Heroic Knight;TV;27;1998;1998;Spring;As the island of Lodoss braces against a new assault by the Marmo and their new allies, the fate of the land falls into the hands of Spark, an inexperienced young knight. As aging legends Ashram, Kashew, Parn and Deedlit begin to fade, a new generation of heroes will have to arise to keep Lodoss from being torn apart by conflict.;['AIC'];Action,Adventure,Fantasy,Island,Magic,Medieval,Swordplay
Koro-sensei Quest!;Web;12;2016;2017;Winter;Get ready for a strange but fun-filled adventure with your favorite group of assassins. The killer class is back but this time they’ve got…magic?! In this brand new spin-off series, follow the chibis of Class 3-E as they learn swordsmanship and sorcery at Kunugigaoka Magic School. Their mission? Defeat the evil Demon King Koro Sensei and face the trials and perils of their magical school!;['Lerche'];Comedy,Fantasy,Shounen,Chibi,Non-Human Protagonists,Short Episodes,Based on a Manga
Usuzumizakura: Garo;Movie;1;2018;2018;;The Heian world, the beautiful capital Kyo in its glorious splendor. When two attractive Onmyouji meet, the sad, ephemeral, yet beautiful cherry blossoms…… will bloom after a millennium.;['Studio VOLN', 'Studio M2'];Action,Fantasy,Dark Fantasy,Demons,Feudal Japan,Historical,Magic,Power Suits,Revenge
Black Rock Shooter OVA;OVA;1;2010;2010;;In a dark and dreary dimension, the mysterious Black Rock Shooter roams the desolate landscape with her gigantic gun, pausing only to battle against other mysterious super-powered girls. Elsewhere, a teenage girl is excitedly preparing for her very first day of junior high, eager to begin her new life of attending a basketball club and befriending the elegant new girl. But what exactly is the connection between these two worlds?;['Ordet'];Action,Fantasy,Slice of Life,Based on a Song,School Life
We Were There;TV;26;2006;2006;Summer;"Yano Motoharu is the most popular guy in class, the school’s basketball ace, and highly charismatic to boot! No wonder Nanami Takahashi can’t resist falling in love with him. When Yano returns Nana’s feelings, things seem too good to be true and the two begin a relationship; but Yano has a contradictory personality which confuses Nana most of the time. On top of that, tragic events in Yano’s past won’t stop haunting their relationship. Unable to halt their passionate feelings, are Yano and Nana heading for disaster or can they save each other from irreparable hurt?";['Artland'];Drama,Romance,Shoujo,Love Triangle,Opposites Attract,School Life,Based on a Manga
High School DxD Specials;DVD Special;6;2012;2012;;Issei, Rias and the rest of the gang continue to have a variety of misadventures with plenty of bountiful breasts to be exposed along the way. Whether they're transporting to an uninhabited island to sunbathe in revealing outfits, accidentally turning Koneko into a pervert with personality-changing tea, or getting a chest workout while making udon dough from scratch, these high school demons have plenty of fun with their friends.;['TNK'];Ecchi,Fantasy,Contemporary Fantasy,Demons
Miyori no Mori;TV Special;1;2007;2007;;After her parents separated, eleven-year-old Miyori was left in the care of her grandparents who live in the countryside, where she lives a lonely and solemn life. While exploring the woods one day near the village, Miyori comes across a giant cherry tree and meets the spirits of the forest. They tell her that she is the guardian of the forest, a role that Miyori stubbornly does not wish to fill - that is, until she learns that a dam is being built, and it threatens to submerge her home and the home of the spirits! With the help of her new woodland friends and classmates, Miyori hatches a plan to save her new home...;['Nippon Animation'];Drama,Fantasy,Contemporary Fantasy,Countryside,Environmental,Family Friendly,Forest,Japanese Mythology,Lifestyle Change
Naruto Shippuden: Sunny Side Battle!;Other;1;2013;2013;;;['Studio Pierrot'];Comedy,Shounen,Food and Beverage,Ninja,Based on a Manga
Sengoku Basara: Samurai Kings 2 - Dragon and Tiger -- Oath of Victory! Souls Racing Towards a Blazing Future!!;DVD Special;1;2011;2011;;The action is over-the-top as Date and Yukimura take on a group of disguised fighters. While Date may realize the the masked men are actually Sasuke, Takeda, and Kojuro, Yukimura appears to have no clue.;['Production I.G'];Action,Feudal Japan,Historical,Samurai,Swordplay,Based on a Video Game
Mobile Suit Gundam SEED Destiny Special Edition II: Respective Swords;TV Special;1;2006;2006;;The Minerva docks at a ZAFT base, where they are met by Chairman Durandal. Over a quiet dinner, he talks with Athrun, Shinn and other members of the crew. This conversation leads Shinn to reflect on the past, and the events that brought them to where they are now. But understanding does not bring peace, and after another argument with some of his shipmates, Shinn heads ashore to clear his head. There he meets a beautiful girl, and watches her fall into the ocean. He dives in to rescue her, and in turn then must wait to be rescued. Meanwhile, the Alliance Forces gather, along with their Orb Allies, to launch an attack on ZAFT. The Minerva scrambles and prepares for battle. But unknown to either side, far beneath the waves, another group is going to try to put an end to the fighting.;['Sunrise'];Mecha,Sci Fi
Magical Shopping Arcade Abenobashi;TV;13;2002;2002;Spring;Satoshi and Arumi have been friends since early childhood, but now Arumi's family is moving to Hokkaido, deeply upsetting her long-time friend. However, when Arumi's grandfather accidentally breaks the pelican statue atop his restaurant, the duo find their world turned upside down and not quite as they left it. From a fairy tale kingdom, to kung fu China, to the prehistoric age and everything in between, Arumi and Satoshi can't quite seem to figure out where they are, or better yet, how they can manage to get home to their own Abenobashi Shoutengai!;['Gainax', 'MADHOUSE'];Comedy,Fantasy,Magic,Parody,Person in a Strange World,Original Work
Kurokami The Animation;TV;23;2009;2009;Winter;"Beyond the knowledge of most people, the world contains a dark secret: of every person in the world, there exist two identical copies (called Doppeliners) with the same body and mind. Among the three, however, is distributed only a finite amount of fortune; should they ever encounter one another, the one with a smaller portion dies and the remainder is distributed until only one, the Master Root, survives. Keita Ibuki lives his day-to-day life as ignorant of this as everyone else until he stumbles upon a mysterious young girl named Kuro who explains to him these secrets of the world. Despite not wanting to have anything to do with her or the danger that inevitably seems to follow, their fates become intertwined and he finds that the Doppeliner system has more to do with his past than he realizes.";['Sunrise'];Action,Fantasy,Seinen,Martial Arts,Superpowers,Based on a Manga
Tanuki to Kitsune;Web;18;2018;2018;Winter;These are the daily lives of a raccoon dog who is not quite with it and a mischievous fox who likes to tease the raccoon dog. The two are close friends who live together on a mountain. Their other friends include a wolf, a bear, a rabbit, and birds.;['Lesprit'];Animal Protagonists,Dogs,Family Friendly,Non-Human Protagonists,Short Episodes
The Knight in the Area;TV;37;2012;2012;Winter;Believing himself to be useless at soccer, Kakeru Aizawa instead becomes the manager of his school's soccer team, while his brother Suguru is its ace, and is even good enough to represent Japan in the championships. However, Kakeru may have a yet unknown strong talent within himself that only his brother Suguru can see, and they often get into arguments over Kakeru's denial of his skills. Things are made more complicated with the return of Nana, an old friend of theirs that Kakeru has a crush on.;['Shin-Ei Animation'];Drama,Shounen,Sports,Soccer,Based on a Manga
Lupin III Special 4: From Siberia With Love;TV Special;1;1992;1992;;"In 1918, the Romanov family was killed... or was it? Lupin III has discovered that they in fact faked their death, bribing individuals with part of their vast family fortune: five hundred tons of gold! In search of this veritable mother load, Lupin follows clues provided by an obscure book called 'The Ransom of King Romanov” and finds himself at the infamous and impenetrable Bank of Liberty. If Lupin manages to pull this caper off, he will find himself in conflict with both the mafia and the megalomaniac Rasputin, descendant of the Romanov's advisor; dangerous adversaries to be sure, but just another day in the life of Lupin III, thief extraordinaire!";['TMS Entertainment'];Seinen,America,Criminals,Thieves,Based on a Manga
EGOIST: All Alone With You;Music Video;1;2013;2013;;The Official music video for Psycho-Pass's first ending theme, performed by EGOIST.;[];Abstract
One Piece Recap;OVA;1;2010;2010;;In a golden age of pirates, one young rookie namedMonkey D. Luffy is taking the world by storm. Setting out from his hometown in a small boat, Luffy is slowly gathering together a crew of strong friends to help him achieve his goal: to become the king of the pirates! Using his powers as a rubber man and relying on the strong bonds with his crewmates, the Straw Hat Piratestraverse the treacherous seas of the Grand Line battling tough enemies, preventing revolutions, exploring islands in the sky, and declaring all-out war against the world government. However, catching the eye of the marines has its price. With the full force of the navy on their tails, willLuffy and his friends make it to the second half of the Grand Line, let alone attain their dreams?;['Toei Animation'];Action,Adventure,Comedy,Shounen,Pirates,Recap,Superpowers,Based on a Manga
40MeterP: Dare mo Shiranai Happy End;Music Video;1;2016;2016;;;[];Vocaloid
Seraph of the End: Jump Festa 2015 Special;Other;1;2015;2015;;A mysterious vampire named Shahal kidnaps a human girl named Riko. Shahal's true goal is unknown, and while he's kidnapped Riko, he refuses to drink her blood. Suddenly, he receives a visit from the vampire nobles Ferid and Crowley. Meanwhile, Guren tasks Shinoa's squad with rescuing Riko and returning her to her family.;['Wit Studio'];Action,Shounen,Supernatural,Vampires,Based on a Manga
Negima!?;TV;26;2006;2007;Fall;"Negi Springfield is a typical ten year-old Welsh boy -- except that he's a mage, and an English teacher at an all girls school in Japan! In order to become a full mage he has to prove himself as a teacher and find suitable partners to aid him; but above all, he has to make sure that no one discovers his secret. Much to his dismay his secret is discovered on the first day by one of his students, Asuna. To prevent Negi from being punished, Asuna agrees to become his partner -- however she isn't the only one to find out. As time goes by more of his students find out his secret. How long can he keep his powers hidden when little by little all of his students are becoming his partners?";['Shaft', 'Gansis'];Comedy,Fantasy,Shounen,Magic,Magic School,School Life,Based on a Manga
Nobody's Boy Remi;TV;51;1977;1978;;"Eight-year-old Remi lives in a quiet village with his mother. His father, Jerome Barbarin, lives in Paris and provides the family with money to stay afloat; but soon they receive word that Jerome has been in a terrible accident and cannot support them further. After struggling through a tough winter, Remi and his mother are soon elated to see that their father has returned home - but he is not the man that he used to be. Cold and distant, Jerome soon secretly sells Remi to a traveling entertainer; and thus Remi's hardships begin. Moving from place to place, Remi experiences tragedy on a large scale. Friends come, go, and die; newfound families are torn apart; and otherwise Remi is abused, abandoned, and mistreated. Can Remi ever find his place in the world?";['TMS Entertainment'];Adventure,Drama,19th Century,Coming of Age,Europe,Historical,Lifestyle Change,Melancholy,Poverty,Based on a Novel
Mitaiken Horizon;Music Video;1;2019;2019;;High school idol group Aqours preform their fourth single, Mitaiken Horizon, in beautiful butterfly inspired outfits.;[];Idols
Seraph of the End: The Beginning of the End;TV Special;1;2015;2015;;A lifetime of tragedy - virus attack, capture by vampires, failed escape plan, and deaths of his family - pushes Yu to live for revenge. However, the tragedy continues as he finds out that the vampires have turned Mikaela into one of them.;['Wit Studio'];Action,Horror,Shounen,Demons,Pandemic,Post-apocalyptic,Recap,Supernatural,Vampires,Based on a Manga
